shiftnr,mo,tu,we,th,fr,sa,su,depot,shiftstart,breakstart 1,breakend 1,breakstart 2,breakend 2,shiftend
869RE,x,x,x,x,x,x,x,VLP Boizenburg,10:00,10:00,10:00,13:45,14:30,17:40
86101,x,x,x,x,x,x,x,VLP Boizenburg,4:15,6:00,6:15,8:45,9:15,12:45
86102,x,x,x,x,x,x,x,VLP Boizenburg,14:15,16:00,16:15,18:45,19:15,20:45
86203,x,x,x,x,x,x,,VLP Boizenburg,4:15,6:00,6:15,8:45,9:15,12:45
86203,,,,,,,x,VLP Boizenburg,5:35,7:20,7:35,10:05,10:35,14:05
86204,x,x,x,x,x,x,x,VLP Boizenburg,15:45,17:00,17:15,19:30,20:00,23:12
86305,x,x,x,x,x,x,,VLP Boizenburg,5:15,7:00,7:15,9:45,10:15,13:45
86305,,,,,,,x,VLP Boizenburg,8:45,10:30,10:45,13:15,13:45,17:15
86406,x,x,x,x,x,x,x,VLP Boizenburg,12:30,14:15,14:30,17:00,17:30,19:30
86507,x,x,x,x,,,x,VLP Boizenburg,22:15,22:15,22:15,2:30,3:15,6:45
86507,,,,,x,x,,VLP Boizenburg,22:15,22:15,22:15,2:30,3:15,5:00
81101,x,x,x,x,x,x,x,VLP Hagenow,4:15,6:00,6:15,8:45,9:15,11:45
81102,x,x,x,x,x,x,x,VLP Hagenow,14:15,16:00,16:15,18:45,19:15,22:45
81203,x,x,x,x,x,x,x,VLP Hagenow,4:30,6:15,6:30,9:00,9:30,12:30
81204,x,x,x,x,x,x,x,VLP Hagenow,13:45,15:30,15:45,18:15,18:45,21:45
81305,x,x,x,x,x,x,x,VLP Hagenow,5:15,7:00,7:15,9:45,10:15,13:45
81406,x,x,x,x,x,x,x,VLP Hagenow,13:15,15:00,15:15,17:45,18:15,21:45
81507,x,x,x,x,,,x,VLP Hagenow,22:15,22:15,22:15,2:30,3:15,6:45
81507,,,,,x,x,,VLP Hagenow,22:15,22:15,22:15,2:30,3:15,5:00
81799,x,x,x,x,x,x,x,VLP Hagenow,8:45,8:45,8:45,12:30,13:15,16:25
81999,x,x,x,x,x,x,x,VLP Hagenow,10:00,10:00,10:00,13:45,14:30,17:40
837RE,x,x,x,x,x,x,x,VLP Ludwigslust,10:00,10:00,10:00,13:45,14:30,17:40
83101,x,x,x,x,x,x,x,VLP Ludwigslust,4:15,5:45,6:00,8:30,9:00,12:30
83102,x,x,x,x,x,x,x,VLP Ludwigslust,13:30,15:00,15:15,17:45,18:15,21:45
83203,x,x,x,x,x,,,VLP Ludwigslust,5:15,5:15,5:15,7:22,8:07,12:40
83203,,,,,,x,x,VLP Ludwigslust,8:10,8:10,8:10,10:17,11:02,14:45
83307,x,x,x,x,,,x,VLP Ludwigslust,22:00,22:00,22:00,2:00,2:45,6:15
83307,,,,,x,x,,VLP Ludwigslust,22:00,22:00,22:00,2:00,2:45,5:00
83405,x,x,x,x,x,x,x,VLP Ludwigslust,4:30,6:00,6:15,8:45,9:15,12:45
83406,x,x,x,x,x,x,x,VLP Ludwigslust,14:30,16:00,16:15,18:45,19:15,22:45
83305,x,x,x,x,x,x,x,VLP Ludwigslust,5:00,6:30,6:45,9:15,9:45,13:15
83606,x,x,x,x,x,x,x,VLP Ludwigslust,13:15,14:45,15:00,17:30,18:00,21:30
829RE,x,x,x,x,x,x,x,VLP Parchim,10:00,10:00,10:00,13:45,14:30,17:40
82101,x,x,x,x,x,x,x,VLP Parchim,4:15,6:00,6:15,8:45,9:15,12:45
82102,x,x,x,x,x,x,x,VLP Parchim,13:45,15:30,15:45,18:15,18:45,21:45
82203,x,x,x,x,x,x,x,VLP Parchim,4:45,6:30,6:45,9:15,9:45,12:45
82204,x,x,x,x,x,x,x,VLP Parchim,14:59,16:45,17:00,19:30,20:00,23:30
82305,x,x,x,x,x,,,VLP Parchim,5:15,6:45,7:00,8:45,9:15,12:10
82305,,,,,,x,x,VLP Parchim,9:15,10:45,11:00,12:45,13:15,16:30
82406,x,x,x,x,x,x,x,VLP Parchim,13:15,15:00,15:15,17:45,18:15,21:45
82507,x,x,x,x,,,x,VLP Parchim,22:15,22:15,22:15,2:30,3:15,6:45
82507,,,,,x,x,,VLP Parchim,22:15,22:15,22:15,2:30,3:15,5:00
846RE,x,x,x,x,x,x,x,VLP Schwerin,10:00,10:00,10:00,13:45,14:30,17:40
84101,x,x,x,x,x,x,x,VLP Schwerin,4:15,5:45,6:00,8:30,9:00,12:30
84102,x,x,x,x,x,x,x,VLP Schwerin,14:15,15:45,16:00,18:30,19:00,22:30
84203,x,x,x,x,x,x,x,VLP Schwerin,5:15,6:45,7:00,9:30,10:00,13:30
84304,x,x,x,x,x,x,x,VLP Schwerin,13:00,14:45,15:00,17:30,18:00,20:35
84407,x,x,x,x,,,x,VLP Schwerin,22:00,22:00,22:00,2:30,3:15,6:00
84407,,,,,x,x,,VLP Schwerin,22:00,22:00,22:00,2:30,3:15,5:20
858RE,x,x,x,x,x,x,x,VLP Sternberg,10:00,10:00,10:00,13:45,14:30,17:40
85101,x,x,x,x,x,x,x,VLP Sternberg,4:15,5:45,6:00,8:30,9:00,12:30
85102,x,x,x,x,x,x,x,VLP Sternberg,14:30,16:00,16:15,18:45,19:15,22:45
85203,x,x,x,x,x,x,x,VLP Sternberg,7:45,7:45,7:45,11:15,12:00,15:30
85307,x,x,x,x,,,x,VLP Sternberg,22:00,22:00,22:00,2:00,2:45,6:15
85307,,,,,x,x,,VLP Sternberg,22:00,22:00,22:00,2:00,2:45,5:00