vehiclenr,depot,vehicle,seats
1,VLP Boizenburg,E QB,3
2,VLP Boizenburg,Caddy,3
3,VLP Boizenburg,V Klasse,5
4,VLP Boizenburg,V Klasse,5
5,VLP Boizenburg,V Klasse,5
6,VLP Boizenburg,V Klasse,5
7,VLP Boizenburg,V Klasse,5
1,VLP Hagenow,E QB,3
2,VLP Hagenow,E QB,3
3,VLP Hagenow,Caddy,3
4,VLP Hagenow,V Klasse,5
5,VLP Hagenow,V Klasse,5
6,VLP Hagenow,V Klasse,5
7,VLP Hagenow,V Klasse,5
8,VLP Hagenow,V Klasse,5
9,VLP Hagenow,Vito,5
1,VLP Parchim,E QB,3
2,VLP Parchim,Caddy,3
3,VLP Parchim,V Klasse,3
4,VLP Parchim,V Klasse,5
5,VLP Parchim,V Klasse,5
6,VLP Parchim,V Klasse,5
7,VLP Parchim,Vito,5
8,VLP Parchim,Vito,5
1,VLP Schwerin,E QB,3
2,VLP Schwerin,Caddy,3
3,VLP Schwerin,V Klasse,5
4,VLP Schwerin,V Klasse,5
5,VLP Schwerin,V Klasse,5
6,VLP Schwerin,V Klasse,5
7,VLP Schwerin,Vito,5
1,VLP Ludwigslust,Caddy,3
2,VLP Ludwigslust,V Klasse,5
3,VLP Ludwigslust,V Klasse,5
4,VLP Ludwigslust,V Klasse,5
5,VLP Ludwigslust,V Klasse,5
6,VLP Ludwigslust,V Klasse,5
7,VLP Ludwigslust,Vito,5
1,VLP Sternberg,E QB,3
2,VLP Sternberg,Caddy,3
3,VLP Sternberg,V Klasse,5